34,40,30,34,24,36,28,31,29,25,29,32,29,16,20,26,13,20,19,21,21,14,15,12,11,18,19,5,16,9,7,4,8,8,7,5,5,13,7,9,11,6,5,9,4,4,7,6,3,2,3,6,4,2,6,4,1,2,2,4,2,3,4,3,3,3,1,4,0,3,0,1,3,2,4,2,1,1,3,0,2,1,1,0,0,0,1,1,1,0,1,1,2,1,0,1,1,1, 
43,38,45,39,40,32,28,32,29,31,20,24,28,24,22,23,24,20,14,12,13,13,13,11,15,6,10,5,8,9,11,10,7,5,8,10,9,11,6,8,2,4,10,7,8,5,7,8,6,4,2,2,1,3,5,5,4,8,1,4,4,4,2,2,4,1,2,2,3,3,0,3,1,1,0,0,2,2,0,1,0,0,3,2,1,0,0,0,0,0,1,0,1,2,0,2,0,1, 
60,37,46,35,28,27,31,26,32,27,21,26,18,19,15,30,15,24,22,7,8,19,17,17,12,17,10,8,12,6,12,12,5,13,9,7,9,15,9,7,3,5,6,13,9,3,1,5,5,6,6,3,2,2,4,5,3,2,4,3,5,4,1,5,5,1,0,3,2,2,0,2,2,1,1,2,3,2,0,1,2,1,2,0,2,0,1,1,0,4,0,0,1,2,0,1,0,2, 
41,57,34,40,31,35,28,28,37,28,17,16,29,13,25,28,14,12,13,23,17,14,12,11,14,11,10,14,8,12,11,12,8,10,11,3,11,7,6,7,7,10,4,8,9,7,4,5,6,2,3,3,5,5,4,1,5,2,3,1,3,4,1,1,2,1,3,3,1,1,1,2,2,0,1,1,0,0,2,0,1,1,2,0,2,1,0,0,1,1,0,1,0,1,0,1,0,1, 
52,52,40,34,36,27,25,27,39,21,23,25,19,26,17,19,19,27,14,18,10,20,16,18,13,13,14,9,13,10,6,11,12,9,9,6,3,7,6,9,9,7,5,8,7,7,5,4,5,5,7,5,3,1,3,6,4,2,2,3,3,3,2,0,1,1,2,0,3,1,0,1,0,0,2,3,2,1,3,0,0,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,0,0, 
65,38,33,33,34,29,31,28,37,22,24,17,24,25,13,19,27,19,15,17,12,15,15,12,17,8,8,12,9,18,9,13,8,7,9,15,8,7,10,6,4,6,6,3,7,3,3,6,6,8,4,4,4,5,2,2,2,1,1,3,0,2,4,7,2,2,4,1,1,1,2,2,1,1,3,2,2,0,3,0,0,2,0,1,0,3,2,0,2,1,0,0,2,1,1,0,0,2, 
40,41,33,37,28,34,33,28,19,27,24,30,24,35,25,25,22,20,13,15,19,18,13,13,14,16,12,10,7,9,6,11,11,11,5,5,7,8,7,6,8,6,6,5,8,4,4,3,4,6,7,5,5,4,2,3,8,3,2,3,2,2,0,3,1,2,0,4,1,0,1,2,1,0,1,1,3,1,1,0,0,1,1,2,0,1,2,1,1,1,1,0,1,0,0,0,1,1, 
40,46,28,31,26,32,33,32,22,21,24,25,27,31,19,20,24,16,12,23,21,17,18,15,14,13,14,10,6,16,10,17,11,10,5,9,4,5,7,6,7,12,3,7,3,4,3,4,3,4,7,3,2,7,5,4,4,6,3,3,0,2,4,3,3,2,2,4,2,3,2,4,3,2,1,2,0,3,2,1,0,0,2,2,2,1,2,1,0,1,3,0,0,0,0,1,0,1, 
46,35,40,28,35,32,30,25,36,21,23,20,27,28,21,25,22,21,16,15,16,18,16,15,16,16,17,13,17,8,11,8,4,9,11,6,9,5,4,6,4,9,8,8,3,0,3,4,3,5,5,1,4,1,2,2,5,2,2,4,3,3,5,3,1,4,0,3,3,2,2,0,1,4,1,1,1,2,2,0,1,2,3,0,0,1,0,1,1,0,1,0,0,1,1,1,0,2, 
33,55,28,28,42,22,25,45,29,23,27,27,27,19,32,20,15,23,23,20,18,15,8,14,16,17,18,7,13,8,9,9,6,8,9,9,5,11,5,8,4,4,4,4,6,8,6,6,7,5,4,1,4,1,2,2,4,5,1,2,3,2,1,6,1,3,1,0,4,2,3,3,3,4,0,1,2,1,0,3,0,2,0,3,0,0,0,0,0,1,0,2,1,2,0,1,0,0, 
